SN,x,y,species,code,dia_cm,height_m,class
17867,307109,3036012,Trewia nudiflora,,64,26,2
17868,307599,3035814,Tsuga spp,,18,25,2
17869,307136,3035831,Terai spp,,100,20,1
17870,307715,3035616,Hill spp,,91,23,2
17871,307693,3035601,Abies spp,,93,23,3
17872,307083,3035664,Acacia catechu,,77,30,2
17873,306882,3035762,Adina cardifolia,,55,15,2
17874,307062,3035701,Albizia spp,,22,20,4
17875,307555,3035723,Alnus nepalensis,,46,24,3
17876,306999,3035194,Anogeissus latifolia,,60,15,4
17877,307124,3035941,Bombax ceiba,,96,23,4
17878,307411,3035205,Cedrela toona,,10,21,3
17879,307508,3035431,Abies spp,,77,27,2
17880,307915,3035379,Acacia catechu,,83,22,1
17881,307426,3034805,Adina cardifolia,,49,29,1
17882,307425,3035519,Albizia spp,,48,16,3
17883,307456,3035039,Alnus nepalensis,,36,23,3
17884,307837,3035266,Anogeissus latifolia,,72,21,2
17885,307272,3035436,Bombax ceiba,,36,19,2
17886,307724,3035221,Cedrela toona,,44,28,2
17887,307343,3034839,Dalbergia sissoo,,63,16,3
17888,306918,3035779,Eugenia Jambolana,,32,24,3
17889,307854,3035249,Hymenodictyon excelsum,,24,21,2
17890,307611,3035308,Lagerstroemia parviflora,,82,26,1
17891,306980,3035308,Michelia champaca,,98,21,3
17892,307319,3035960,Pinus roxburghii,,25,16,1
17893,307005,3035650,Pinus wallichiana,,33,29,1
17894,307560,3035839,Quercus spp,,90,26,2
17895,307718,3035144,Schima wallichii,,86,19,2
17896,306998,3035270,Shorea robusta,,37,15,4
17897,307367,3035642,Terminalia alata,,29,22,3
17898,307193,3036165,Trewia nudiflora,,50,30,2
17899,307715,3035437,Tsuga spp,,85,16,4
17900,307367,3034756,Terai spp,,94,16,2
17901,307188,3035230,Hill spp,,32,15,4
17902,307684,3035503,Abies spp,,72,26,4
17903,307626,3035656,Acacia catechu,,88,20,3
17904,307413,3035832,Adina cardifolia,,60,21,1
17905,307514,3035625,Albizia spp,,45,23,1
17906,307553,3035338,Alnus nepalensis,,94,19,4
17907,307002,3035573,Anogeissus latifolia,,31,24,3
17908,307616,3035611,Bombax ceiba,,63,20,2
17909,307820,3035331,Cedrela toona,,87,16,1
17910,307346,3036167,Dalbergia sissoo,,75,29,2
17911,307440,3034933,Eugenia Jambolana,,63,28,2
17912,307584,3035297,Hymenodictyon excelsum,,27,30,2
17913,307013,3035906,Lagerstroemia parviflora,,11,24,3
17914,307154,3035439,Michelia champaca,,99,27,2
17915,307521,3035117,Pinus roxburghii,,83,28,3
17916,307140,3035270,Pinus wallichiana,,29,23,3
17917,306937,3035418,Quercus spp,,15,15,3
17918,307079,3035421,Schima wallichii,,32,24,2
17919,307451,3034883,Shorea robusta,,41,19,3
17920,307055,3035618,Terminalia alata,,44,26,2
17921,307701,3035183,Trewia nudiflora,,59,29,2
17922,307362,3035939,Tsuga spp,,58,16,2
17923,307430,3035546,Terai spp,,36,22,3
17924,307855,3035508,Hill spp,,37,16,4
17925,307432,3034984,Abies spp,,56,19,2
17926,307567,3035024,Acacia catechu,,31,25,1
17927,307523,3034956,Adina cardifolia,,83,27,3
17928,307726,3035344,Albizia spp,,54,21,4
17929,306985,3035270,Alnus nepalensis,,85,20,4
17930,307405,3035256,Anogeissus latifolia,,34,15,3
17931,307688,3035612,Bombax ceiba,,94,18,1
17932,307149,3035246,Cedrela toona,,33,24,4
17933,307579,3035515,Abies spp,,14,27,1
17934,307078,3035338,Acacia catechu,,84,16,3
17935,307745,3035493,Adina cardifolia,,59,22,2
17936,307898,3035370,Albizia spp,,33,25,1
17937,307186,3035874,Alnus nepalensis,,78,17,4
17938,307335,3035930,Anogeissus latifolia,,99,29,1
17939,307406,3035041,Bombax ceiba,,54,23,3
17940,307054,3035216,Abies spp,,35,22,3
17941,307053,3035511,Acacia catechu,,68,20,1
17942,307018,3036003,Adina cardifolia,,83,29,3
17943,306969,3035304,Albizia spp,,56,24,4
17944,307375,3035868,Alnus nepalensis,,60,21,2
17945,307379,3035221,Anogeissus latifolia,,96,25,3
17946,307416,3034938,Bombax ceiba,,36,16,4
17947,307149,3035832,Cedrela toona,,82,24,1
17948,307452,3035651,Dalbergia sissoo,,50,15,2
17949,306999,3035912,Eugenia Jambolana,,61,23,1
17950,307480,3035477,Hymenodictyon excelsum,,90,22,2
17951,307361,3035842,Lagerstroemia parviflora,,89,30,1
17952,307457,3035316,Michelia champaca,,65,20,2
17953,307820,3035590,Pinus roxburghii,,63,26,1
17954,307236,3035794,Pinus wallichiana,,17,24,4
17955,307082,3035303,Quercus spp,,32,21,3
17956,307464,3035158,Schima wallichii,,58,26,2
17957,307728,3035757,Shorea robusta,,75,16,1
17958,307704,3035539,Terminalia alata,,69,20,1
17959,306918,3035839,Trewia nudiflora,,88,27,1
17960,307213,3035731,Tsuga spp,,42,18,4
17961,307736,3035728,Terai spp,,85,30,1
17962,306972,3035439,Hill spp,,31,30,4
17963,307808,3035462,Abies spp,,32,16,1
17964,307703,3035741,Acacia catechu,,99,22,3
17965,306870,3035605,Adina cardifolia,,12,22,2
17966,307086,3035527,Albizia spp,,51,17,4
17967,307740,3035556,Alnus nepalensis,,28,28,4
17968,307127,3035728,Anogeissus latifolia,,50,15,4
17969,307108,3035923,Bombax ceiba,,97,30,3
17970,307087,3035630,Cedrela toona,,45,19,3
17971,307146,3035358,Dalbergia sissoo,,34,28,2
17972,307211,3035307,Eugenia Jambolana,,22,23,3
17973,307305,3035399,Hymenodictyon excelsum,,47,27,2
17974,307664,3035112,Lagerstroemia parviflora,,67,18,1
17975,306941,3035928,Michelia champaca,,87,21,1
17976,307594,3035547,Pinus roxburghii,,51,24,2
17977,307120,3035790,Pinus wallichiana,,68,30,3
17978,307093,3035359,Quercus spp,,92,19,3
17979,307749,3035695,Schima wallichii,,98,24,3
17980,307187,3035696,Shorea robusta,,56,19,3
17981,307212,3035853,Terminalia alata,,91,28,3
17982,307706,3035608,Trewia nudiflora,,92,22,1
17983,307270,3035272,Tsuga spp,,99,28,1
17984,307259,3036034,Terai spp,,73,22,3
17985,307345,3036015,Hill spp,,89,17,3
17986,307686,3035686,Abies spp,,100,21,3
17987,307703,3035776,Acacia catechu,,46,15,3
17988,307510,3035777,Adina cardifolia,,96,28,4
17989,307626,3035679,Albizia spp,,63,23,1
17990,306830,3035507,Alnus nepalensis,,62,30,2
17991,307564,3035778,Anogeissus latifolia,,27,20,2
17992,307263,3035870,Bombax ceiba,,81,25,2
17993,307374,3035345,Cedrela toona,,54,20,3
17994,307415,3035681,Abies spp,,70,15,2
17995,307674,3035219,Acacia catechu,,88,15,4
17996,307689,3035565,Adina cardifolia,,55,23,3
17997,307625,3035760,Albizia spp,,36,29,3
17998,307300,3035424,Alnus nepalensis,,72,28,3
17999,307319,3035862,Anogeissus latifolia,,92,22,1
18000,307344,3035404,Bombax ceiba,,11,24,2
18001,307073,3035321,Cedrela toona,,95,26,3
18002,306924,3035300,Dalbergia sissoo,,10,27,1
18003,307628,3035590,Eugenia Jambolana,,92,15,1
18004,307409,3035314,Hymenodictyon excelsum,,95,22,4
18005,307718,3035235,Lagerstroemia parviflora,,76,16,3
18006,307733,3035646,Michelia champaca,,30,25,1
18007,307411,3034869,Pinus roxburghii,,54,29,4
18008,307472,3035574,Pinus wallichiana,,56,21,2
18009,307432,3035563,Quercus spp,,33,20,1
18010,307427,3035561,Schima wallichii,,60,25,2
18011,307154,3035264,Shorea robusta,,27,16,1
18012,307012,3035788,Terminalia alata,,45,22,3
18013,307515,3035695,Trewia nudiflora,,49,18,4
18014,306924,3035201,Tsuga spp,,61,17,3
18015,307040,3035577,Terai spp,,40,17,3
18016,307090,3035552,Hill spp,,57,24,4
18017,307238,3035777,Abies spp,,80,27,4
18018,307347,3036075,Acacia catechu,,21,30,3
18019,307144,3035565,Adina cardifolia,,42,24,4
18020,307242,3035746,Albizia spp,,17,25,2
18021,307372,3035280,Alnus nepalensis,,35,30,2
18022,307518,3035343,Anogeissus latifolia,,91,17,4
18023,307642,3035749,Bombax ceiba,,51,21,2
18024,307009,3035480,Cedrela toona,,62,25,4
18025,307715,3035465,Dalbergia sissoo,,87,23,4
18026,307460,3035710,Eugenia Jambolana,,25,27,4
18027,307354,3034709,Hymenodictyon excelsum,,38,25,2
18028,307463,3035369,Lagerstroemia parviflora,,56,18,3
18029,307158,3035742,Michelia champaca,,52,27,2
18030,307642,3035369,Pinus roxburghii,,74,27,1
18031,307682,3035745,Pinus wallichiana,,98,24,2
18032,307318,3036138,Quercus spp,,74,21,3
18033,307266,3036081,Schima wallichii,,46,26,3
18034,307124,3035168,Shorea robusta,,86,20,2
18035,306931,3035829,Terminalia alata,,52,22,3
18036,307499,3035328,Trewia nudiflora,,94,27,4
18037,307884,3035326,Tsuga spp,,76,17,2
18038,307747,3035638,Terai spp,,10,19,2
18039,307098,3035531,Hill spp,,89,25,4
18040,306945,3035567,Abies spp,,31,20,4
18041,307450,3034853,Acacia catechu,,55,20,4
18042,307564,3035021,Adina cardifolia,,71,20,1
18043,307829,3035240,Albizia spp,,97,16,2
18044,307556,3035236,Alnus nepalensis,,43,16,2
18045,307463,3035547,Anogeissus latifolia,,28,17,2
18046,307198,3035194,Bombax ceiba,,100,21,1
18047,307058,3035531,Cedrela toona,,59,28,4
18048,307265,3035339,Abies spp,,60,23,3
18049,306978,3035881,Acacia catechu,,59,28,2
18050,307095,3035557,Adina cardifolia,,73,23,4
18051,307096,3035660,Albizia spp,,75,23,2
18052,307903,3035273,Alnus nepalensis,,35,29,4
18053,307238,3036155,Anogeissus latifolia,,24,28,4
18054,307606,3035405,Bombax ceiba,,43,29,4
18055,307154,3035788,Cedrela toona,,33,25,2
18056,307605,3035589,Dalbergia sissoo,,90,23,4
18057,307277,3036210,Eugenia Jambolana,,27,29,3
18058,306967,3035753,Hymenodictyon excelsum,,42,25,4
18059,307287,3035620,Lagerstroemia parviflora,,54,24,2
18060,307401,3035699,Michelia champaca,,69,15,4
18061,307550,3035196,Pinus roxburghii,,33,27,1
18062,306967,3035926,Pinus wallichiana,,85,19,3
18063,306927,3035331,Quercus spp,,26,27,3
18064,307028,3035335,Schima wallichii,,70,20,1
18065,307111,3035840,Shorea robusta,,38,26,1
18066,307398,3035822,Terminalia alata,,61,18,2
18067,307264,3035401,Trewia nudiflora,,40,16,3
18068,307128,3035482,Tsuga spp,,74,18,3
18069,306981,3036021,Terai spp,,83,25,2
18070,307553,3035617,Hill spp,,99,19,4
18071,306991,3035882,Abies spp,,46,25,4
18072,307223,3036197,Acacia catechu,,77,24,2
18073,307207,3035928,Adina cardifolia,,41,21,3
18074,307065,3035395,Albizia spp,,40,18,1
18075,307469,3035382,Alnus nepalensis,,77,23,4
18076,307300,3035256,Anogeissus latifolia,,15,26,4
18077,307386,3035483,Bombax ceiba,,36,26,4
18078,307798,3035412,Cedrela toona,,96,25,1
18079,307206,3035977,Dalbergia sissoo,,35,26,2
18080,307392,3035557,Eugenia Jambolana,,34,20,1
18081,307060,3035416,Hymenodictyon excelsum,,51,21,3
18082,307727,3035234,Lagerstroemia parviflora,,71,22,3
18083,307292,3036057,Michelia champaca,,54,24,4
18084,306992,3035488,Pinus roxburghii,,60,28,2
18085,307714,3035749,Pinus wallichiana,,62,23,1
18086,307419,3035737,Quercus spp,,37,28,2
18087,307065,3035629,Schima wallichii,,68,29,3
18088,307414,3035527,Shorea robusta,,46,28,3
18089,306896,3035366,Terminalia alata,,54,23,1
18090,307323,3036149,Trewia nudiflora,,32,27,1
18091,307830,3035343,Tsuga spp,,69,22,2
18092,307540,3035388,Terai spp,,95,28,4
18093,306940,3035191,Hill spp,,83,27,1
18094,307789,3035746,Abies spp,,92,20,4
18095,307412,3035361,Acacia catechu,,29,26,4
18096,307371,3035493,Adina cardifolia,,37,27,3
18097,307907,3035354,Albizia spp,,63,26,4
18098,307710,3035660,Alnus nepalensis,,65,16,3
18099,307261,3036109,Anogeissus latifolia,,21,15,1
18100,307184,3036075,Bombax ceiba,,13,17,1
18101,307128,3036067,Cedrela toona,,65,19,3
18102,307216,3035742,Abies spp,,97,29,3
18103,307187,3035208,Acacia catechu,,13,28,2
18104,306868,3035513,Adina cardifolia,,50,20,3
18105,307407,3035102,Albizia spp,,96,15,3
18106,307584,3035793,Alnus nepalensis,,38,17,2
18107,307054,3035775,Anogeissus latifolia,,28,30,3
18108,307121,3035996,Bombax ceiba,,46,18,3
18109,307142,3036100,Cedrela toona,,63,18,2
18110,307200,3035385,Dalbergia sissoo,,88,23,2
18111,307304,3035976,Eugenia Jambolana,,83,24,3
18112,307638,3035238,Hymenodictyon excelsum,,14,19,3
18113,307131,3035981,Lagerstroemia parviflora,,61,16,1
18114,307739,3035247,Michelia champaca,,56,25,3
18115,307257,3036162,Pinus roxburghii,,95,25,2
18116,307499,3034920,Pinus wallichiana,,11,29,4
18117,307395,3035780,Quercus spp,,90,17,3
18118,307065,3035817,Schima wallichii,,60,16,2
18119,307756,3035573,Shorea robusta,,58,22,3
18120,306975,3035454,Terminalia alata,,13,17,1
18121,307025,3035381,Trewia nudiflora,,56,20,2
18122,307782,3035599,Tsuga spp,,49,30,2
18123,306992,3035744,Terai spp,,83,29,4
18124,307784,3035641,Hill spp,,99,25,3
18125,307465,3035616,Abies spp,,84,23,2
18126,307318,3036003,Acacia catechu,,86,22,1
18127,306900,3035658,Adina cardifolia,,10,18,3
18128,307450,3035437,Albizia spp,,21,21,3
18129,306936,3035216,Abies spp,,42,18,4
18130,307044,3035385,Acacia catechu,,80,25,4
18131,307352,3034783,Adina cardifolia,,19,28,1
18132,307029,3035412,Albizia spp,,52,28,1
18133,307440,3035625,Alnus nepalensis,,57,25,2
18134,307504,3035306,Anogeissus latifolia,,77,18,2
18135,306998,3035248,Bombax ceiba,,39,19,4
18136,307091,3035676,Cedrela toona,,40,15,2
18137,307411,3035013,Dalbergia sissoo,,55,24,2
18138,307289,3036095,Eugenia Jambolana,,53,30,1
18139,307537,3035565,Hymenodictyon excelsum,,18,19,3
18140,307629,3035570,Lagerstroemia parviflora,,78,20,4
18141,306932,3035934,Michelia champaca,,61,27,3
18142,307027,3035379,Pinus roxburghii,,70,22,2
18143,307604,3035809,Pinus wallichiana,,71,30,1
18144,307504,3035087,Quercus spp,,54,19,3
18145,307410,3035035,Schima wallichii,,22,28,1
18146,307014,3035165,Shorea robusta,,13,29,4
18147,307075,3035669,Terminalia alata,,27,27,1
18148,307198,3035332,Trewia nudiflora,,12,18,2
18149,307488,3034895,Tsuga spp,,81,18,2
18150,307269,3035318,Terai spp,,73,22,1
18151,307239,3035834,Hill spp,,23,22,1
18152,307527,3035820,Abies spp,,63,24,3
18153,307449,3035806,Acacia catechu,,51,25,3
18154,307127,3035323,Adina cardifolia,,96,29,4
18155,307757,3035485,Albizia spp,,80,28,1
18156,307143,3035339,Alnus nepalensis,,34,23,1
18157,307280,3035487,Anogeissus latifolia,,34,20,3
18158,307163,3035209,Bombax ceiba,,84,30,4
18159,307711,3035278,Cedrela toona,,80,19,2
18160,306892,3035609,Dalbergia sissoo,,17,15,3
18161,307446,3035668,Eugenia Jambolana,,50,20,3
18162,307068,3035499,Hymenodictyon excelsum,,55,28,3
18163,307417,3035319,Lagerstroemia parviflora,,87,16,4
18164,307451,3035215,Michelia champaca,,62,25,4
18165,307184,3035965,Pinus roxburghii,,18,28,3
18166,307084,3035834,Pinus wallichiana,,35,29,3
18167,306916,3035200,Quercus spp,,14,30,4
18168,307275,3035899,Schima wallichii,,89,28,2
18169,307617,3035708,Shorea robusta,,54,17,1
18170,307864,3035502,Terminalia alata,,50,21,4
18171,307385,3035331,Trewia nudiflora,,87,24,2
18172,307635,3035800,Tsuga spp,,22,25,1
18173,306928,3035752,Terai spp,,21,30,4
18174,307720,3035271,Hill spp,,96,16,3
18175,307206,3035969,Abies spp,,80,19,1
18176,307480,3035464,Acacia catechu,,83,17,2
18177,307749,3035627,Adina cardifolia,,99,28,1
18178,307533,3035205,Albizia spp,,20,22,2
18179,307674,3035676,Alnus nepalensis,,83,21,2
18180,307476,3035196,Anogeissus latifolia,,54,28,4
18181,307294,3035256,Bombax ceiba,,90,29,2
18182,307114,3035918,Cedrela toona,,59,26,1
18183,306920,3035370,Abies spp,,17,26,4
18184,307542,3035644,Acacia catechu,,76,30,2
18185,307252,3035476,Adina cardifolia,,63,20,3
18186,307009,3035411,Albizia spp,,50,21,1
18187,307327,3036231,Alnus nepalensis,,49,26,4
18188,307270,3035529,Anogeissus latifolia,,97,22,1
18189,306994,3035825,Bombax ceiba,,76,15,4
18190,307834,3035351,Cedrela toona,,75,28,1
18191,307909,3035321,Dalbergia sissoo,,21,16,1
18192,307089,3035343,Eugenia Jambolana,,71,24,2
18193,307625,3035431,Hymenodictyon excelsum,,81,19,4
18194,307411,3035503,Lagerstroemia parviflora,,27,27,3
18195,306962,3035551,Michelia champaca,,100,16,4
18196,307179,3035328,Pinus roxburghii,,54,15,2
18197,307081,3035647,Pinus wallichiana,,58,28,1
18198,307256,3035599,Quercus spp,,73,23,1
18199,307116,3035241,Schima wallichii,,93,20,4
18200,307101,3035252,Shorea robusta,,54,27,3
18201,307035,3036026,Terminalia alata,,67,21,2
18202,307308,3036131,Trewia nudiflora,,71,28,4
18203,307448,3035006,Tsuga spp,,49,30,4
18204,307252,3035772,Terai spp,,10,15,1
18205,307932,3035424,Hill spp,,38,23,4
18206,307154,3035984,Abies spp,,65,23,4
18207,307029,3035985,Acacia catechu,,96,23,4
18208,307172,3035421,Adina cardifolia,,56,21,2
18209,307359,3035245,Albizia spp,,29,15,1
18210,307736,3035409,Alnus nepalensis,,100,19,3
18211,307756,3035232,Anogeissus latifolia,,82,25,1
18212,307472,3035556,Bombax ceiba,,96,15,3
18213,307161,3035345,Cedrela toona,,86,20,4
18214,307122,3035789,Dalbergia sissoo,,19,30,3
18215,307775,3035534,Eugenia Jambolana,,51,29,3
18216,307346,3036095,Hymenodictyon excelsum,,65,29,1
18217,307704,3035170,Lagerstroemia parviflora,,25,18,1
18218,307710,3035645,Michelia champaca,,87,20,3
18219,307814,3035406,Pinus roxburghii,,47,22,3
18220,307370,3035556,Pinus wallichiana,,65,20,1
18221,307618,3035223,Quercus spp,,20,21,1
18222,307496,3035368,Schima wallichii,,64,21,4
18223,307001,3035162,Shorea robusta,,23,30,1
18224,307391,3035675,Terminalia alata,,79,25,4
18225,307540,3035178,Trewia nudiflora,,41,27,1
18226,307692,3035509,Tsuga spp,,91,18,4
18227,307072,3035226,Terai spp,,86,26,1
18228,307228,3035455,Hill spp,,22,23,2
18229,306956,3035636,Abies spp,,80,22,1
18230,307299,3036030,Acacia catechu,,33,26,2
18231,307184,3035409,Adina cardifolia,,94,28,1
18232,307192,3035742,Albizia spp,,96,30,3
18233,307370,3035747,Alnus nepalensis,,69,28,1
18234,307813,3035297,Anogeissus latifolia,,69,26,1
18235,307729,3035716,Bombax ceiba,,44,19,1
18236,307125,3035872,Cedrela toona,,44,18,4
18237,307150,3036148,Abies spp,,76,22,3
18238,307591,3035730,Acacia catechu,,88,17,2
18239,307494,3035105,Adina cardifolia,,95,27,2
18240,307752,3035249,Albizia spp,,39,18,4
18241,307149,3035623,Alnus nepalensis,,79,28,1
18242,306958,3035905,Anogeissus latifolia,,53,22,3
18243,307475,3035689,Bombax ceiba,,93,23,3
18244,307179,3035991,Cedrela toona,,34,24,4
18245,307410,3035277,Dalbergia sissoo,,21,27,4
18246,307346,3036101,Eugenia Jambolana,,64,17,3
18247,306985,3035772,Hymenodictyon excelsum,,54,27,4
18248,307287,3036032,Lagerstroemia parviflora,,63,27,1
18249,307147,3036092,Michelia champaca,,44,19,4
18250,307335,3035279,Pinus roxburghii,,41,27,3
18251,307254,3036130,Pinus wallichiana,,56,29,4
18252,307089,3035163,Quercus spp,,90,16,1
18253,306912,3035386,Schima wallichii,,71,25,2
18254,307430,3035934,Shorea robusta,,89,15,2
18255,306960,3035549,Terminalia alata,,25,21,2
18256,307234,3035944,Trewia nudiflora,,66,29,4
18257,307430,3034911,Tsuga spp,,18,19,4
18258,307676,3035217,Terai spp,,91,30,1
18259,307609,3035271,Hill spp,,42,16,3
18260,307202,3036157,Abies spp,,45,29,3
18261,307133,3035479,Acacia catechu,,30,27,3
18262,307230,3035467,Adina cardifolia,,46,21,2
18263,306996,3035991,Albizia spp,,69,24,2
18264,307382,3035271,Alnus nepalensis,,12,16,1
18265,307584,3035247,Anogeissus latifolia,,48,26,1
18266,307331,3035277,Bombax ceiba,,42,21,1
18267,307902,3035419,Cedrela toona,,86,15,3
18268,306896,3035221,Dalbergia sissoo,,70,15,3
18269,307313,3035981,Eugenia Jambolana,,52,16,1
18270,307391,3035762,Hymenodictyon excelsum,,80,17,4
18271,307302,3036158,Lagerstroemia parviflora,,61,28,1
18272,307173,3035557,Michelia champaca,,75,19,2
18273,306947,3035629,Pinus roxburghii,,49,25,1
18274,307339,3034875,Pinus wallichiana,,60,30,4
18275,307223,3035551,Quercus spp,,47,21,2
18276,307704,3035259,Schima wallichii,,60,15,2
18277,306912,3035605,Shorea robusta,,37,29,4
18278,306887,3035544,Terminalia alata,,59,19,4
18279,307625,3035583,Trewia nudiflora,,50,15,4
18280,307737,3035494,Tsuga spp,,59,28,1
18281,307430,3034811,Terai spp,,46,28,3
18282,307385,3035193,Hill spp,,31,25,2
18283,307129,3035895,Abies spp,,96,30,4
18284,307314,3035736,Acacia catechu,,72,21,1
18285,307426,3035484,Adina cardifolia,,64,24,3
18286,307691,3035626,Albizia spp,,31,22,3
18287,307769,3035354,Alnus nepalensis,,36,24,4
18288,307402,3035429,Anogeissus latifolia,,87,18,1
18289,307349,3035490,Bombax ceiba,,59,18,4
18290,306915,3035607,Cedrela toona,,63,22,1
18291,306982,3036016,Abies spp,,45,28,3
18292,307547,3035255,Acacia catechu,,47,30,3
18293,307566,3035257,Adina cardifolia,,75,25,2
18294,307157,3035512,Albizia spp,,33,22,4
18295,307295,3035722,Alnus nepalensis,,81,21,2
18296,307277,3035643,Anogeissus latifolia,,63,16,3
18297,307813,3035568,Bombax ceiba,,77,20,2
18298,307903,3035480,Cedrela toona,,75,18,2
18299,307271,3035245,Dalbergia sissoo,,71,20,3
18300,307128,3035574,Eugenia Jambolana,,12,15,1
18301,307516,3035134,Hymenodictyon excelsum,,48,16,1
18302,306993,3035774,Lagerstroemia parviflora,,60,23,1
18303,307366,3036093,Michelia champaca,,44,23,3
18304,307270,3035672,Pinus roxburghii,,33,21,2
18305,307842,3035290,Pinus wallichiana,,58,21,1
18306,307731,3035330,Quercus spp,,81,29,1
18307,306831,3035580,Schima wallichii,,48,25,4
18308,307377,3034813,Shorea robusta,,40,16,2
18309,307808,3035288,Terminalia alata,,73,30,1
18310,307590,3035109,Trewia nudiflora,,54,17,2
18311,307119,3036117,Tsuga spp,,45,29,3
18312,307419,3034865,Terai spp,,63,22,3
18313,307232,3035902,Hill spp,,55,25,1
18314,307007,3035342,Abies spp,,80,19,3
18315,307561,3035241,Acacia catechu,,69,20,1
18316,307277,3035406,Adina cardifolia,,69,30,2
18317,307761,3035198,Albizia spp,,30,24,3
18318,307008,3035880,Alnus nepalensis,,97,27,2
18319,307734,3035564,Anogeissus latifolia,,46,19,2
18320,307502,3035004,Bombax ceiba,,100,25,2
18321,307022,3035498,Cedrela toona,,71,21,4
18322,307377,3034932,Dalbergia sissoo,,26,22,1
18323,307868,3035354,Eugenia Jambolana,,54,27,1
18324,306983,3035681,Hymenodictyon excelsum,,66,20,2
18325,307317,3035865,Lagerstroemia parviflora,,45,23,1
18326,307550,3035277,Michelia champaca,,100,22,2
18327,307309,3035935,Pinus roxburghii,,67,23,3
18328,307458,3035714,Pinus wallichiana,,16,22,3
18329,306981,3035652,Quercus spp,,19,25,2
18330,307390,3034774,Schima wallichii,,99,18,1
18331,307073,3035672,Shorea robusta,,69,20,3
18332,307565,3035493,Terminalia alata,,62,27,4
18333,307583,3035306,Trewia nudiflora,,16,20,2
18334,307004,3035197,Tsuga spp,,79,26,3
18335,307142,3035576,Terai spp,,86,24,3
18336,307084,3035756,Hill spp,,79,18,3
18337,307005,3035292,Abies spp,,81,22,1
18338,307230,3036029,Acacia catechu,,38,17,4
18339,307385,3035488,Adina cardifolia,,68,20,4
18340,307082,3035880,Albizia spp,,35,27,4
18341,307676,3035153,Alnus nepalensis,,13,16,1
18342,307199,3035186,Anogeissus latifolia,,34,20,4
18343,307449,3035163,Bombax ceiba,,98,20,4
18344,307492,3035389,Cedrela toona,,94,17,4
18345,307338,3035938,Abies spp,,47,27,1
18346,307214,3036041,Acacia catechu,,62,18,1
18347,307552,3035855,Adina cardifolia,,54,26,2
18348,307609,3035513,Albizia spp,,19,15,1
18349,307573,3035571,Alnus nepalensis,,84,24,2
18350,307891,3035395,Anogeissus latifolia,,74,21,3
18351,307779,3035383,Bombax ceiba,,44,20,4
18352,307644,3035223,Abies spp,,94,19,1
18353,307311,3035978,Acacia catechu,,39,22,1
18354,307476,3035838,Adina cardifolia,,57,15,2
18355,307064,3035171,Albizia spp,,19,23,1
18356,307546,3035427,Alnus nepalensis,,48,15,4
18357,307368,3035495,Anogeissus latifolia,,76,24,2
18358,306825,3035589,Bombax ceiba,,98,21,3
18359,307632,3035392,Cedrela toona,,40,15,2
18360,306959,3035921,Dalbergia sissoo,,43,23,4
18361,307179,3035297,Eugenia Jambolana,,17,21,1
18362,307187,3035756,Hymenodictyon excelsum,,18,15,1
18363,307665,3035470,Lagerstroemia parviflora,,80,15,3
18364,306882,3035686,Michelia champaca,,41,21,1
18365,307378,3035227,Pinus roxburghii,,92,19,1
18366,307395,3035200,Pinus wallichiana,,83,29,1
18367,307224,3035378,Quercus spp,,74,21,3
18368,307557,3035296,Schima wallichii,,55,18,4
18369,307386,3035793,Shorea robusta,,29,25,1
18370,307059,3036028,Terminalia alata,,54,25,3
18371,306899,3035690,Trewia nudiflora,,34,24,4
18372,307656,3035122,Tsuga spp,,60,20,4
18373,307550,3035724,Terai spp,,69,15,2
18374,307401,3035285,Hill spp,,52,24,2
18375,307662,3035681,Abies spp,,86,17,1
18376,307454,3035146,Acacia catechu,,41,21,2
18377,307322,3036059,Adina cardifolia,,54,25,1
18378,307647,3035544,Albizia spp,,29,21,2
18379,307341,3035853,Alnus nepalensis,,86,22,1
18380,307467,3035853,Anogeissus latifolia,,17,25,3
18381,307661,3035468,Bombax ceiba,,45,26,4
18382,307156,3035530,Cedrela toona,,40,21,3
18383,307399,3035391,Dalbergia sissoo,,76,23,4
18384,307370,3035660,Eugenia Jambolana,,62,26,2
18385,307241,3035633,Hymenodictyon excelsum,,30,24,2
18386,307671,3035424,Lagerstroemia parviflora,,96,30,3
18387,307737,3035754,Michelia champaca,,49,24,1
18388,307022,3035213,Pinus roxburghii,,35,28,4
18389,307079,3035766,Pinus wallichiana,,51,18,3
18390,307006,3035893,Quercus spp,,67,27,4
18391,307318,3036079,Schima wallichii,,94,17,2
18392,307258,3035537,Shorea robusta,,41,17,2
18393,307300,3035723,Terminalia alata,,92,30,3
18394,307294,3035355,Trewia nudiflora,,68,27,1
18395,307015,3035962,Tsuga spp,,85,19,4
18396,306995,3035326,Terai spp,,94,16,4
18397,307491,3035309,Hill spp,,34,29,3
18398,307561,3035439,Abies spp,,47,29,1
18399,307073,3036000,Acacia catechu,,55,18,4
18400,307184,3035209,Adina cardifolia,,19,15,4
18401,307765,3035255,Albizia spp,,49,26,3
18402,307781,3035602,Alnus nepalensis,,78,29,3
18403,307578,3035151,Anogeissus latifolia,,100,16,1
18404,306881,3035592,Bombax ceiba,,65,25,3
18405,307258,3036072,Cedrela toona,,49,17,1
18406,307482,3035337,Abies spp,,73,15,1
18407,307600,3035521,Acacia catechu,,67,29,4
